Type,Tag,Parent,Label,Description
Location,Indoor,,Indoor,Anything that is inside a closed building
Location,Building,Indoor,Building,
Location,Garage,Building,Garage,
Location,Floor,Indoor,Floor,
Location,Corridor,Indoor,Corridor,
Location,Room,Indoor,Room,
Location,Bedroom,Room,Bedroom,
Location,Kitchen,Room,Kitchen,
Location,Outdoor,,Outdoor,
Location,Garden,Outdoor,Garden,
Location,Terrace,Outdoor,Terrace,
Location,Carport,Outdoor,Carport,
Property,Temperature,,Temperature,
Property,Light,,Light,
Property,ColorTemperature,,Color Temperature,
Property,Humidity,,Humidity,
Property,Presence,,Presence,
Property,Pressure,,Pressure,
Property,Smoke,,Smoke,
Property,Noise,,Noise,
Property,Rain,,Rain,
Property,Wind,,Wind,
Property,Water,,Water,
Property,CO2,,CO2,
Property,CO,,CO,
Property,Energy,,Energy,
Property,Power,,Power,
Property,Voltage,,Voltage,
Property,Current,,Current,
Property,Frequency,,Frequency,
Property,Gas,,Gas,
Property,SoundVolume,,Sound Volume,
Property,Oil,,Oil,
Point,Alarm,,Alarm,
Point,Command,,Command,
Point,Switch,Command,Switch,
Point,Sensor,,Sensor,
Point,BinarySensor,Sensor,Binary Sensor,A sensor that can provide a binary output
Point,Setpoint,,Setpoint,
Point,Status,,Status,
Point,LowBattery,Status,LowBattery,
Point,OpenState,Status,OpenState,
Point,Tampered,Status,Tampered,
Point,OpenLevel,Status,OpenLevel,
Point,Tilt,Status,Tilt,
Equipment,Battery,,Battery,
Equipment,Blinds,,Blinds,
Equipment,Camera,,Camera,
Equipment,Car,,Car,
Equipment,CleaningRobot,,Cleaning Robot,
Equipment,Door,,Door,
Equipment,FrontDoor,Door,Front Door,
Equipment,GarageDoor,Door,Garage Door,
Equipment,HVAC,,HVAC,
Equipment,Inverter,,Inverter,
Equipment,LawnMower,,Lawn Mower,
Equipment,Lightbulb,,Lightbulb,
Equipment,Lock,,Lock,
Equipment,MotionDetector,,Motion Detector,
Equipment,NetworkAppliance,,Network Appliance,
Equipment,PowerOutlet,,Power Outlet,
Equipment,Projector,,Projector,
Equipment,RadiatorControl,,Radiator Control,
Equipment,Receiver,,Receiver,
Equipment,RemoteControl,,Remote Control,
Equipment,Screen,,Screen,
Equipment,Sensor,,Sensor,
Equipment,Siren,,Siren,
Equipment,SmokeDetector,,Smoke Detector,
Equipment,Speaker,,Speaker,
Equipment,Valve,,Valve,
Equipment,WallSwitch,,Wall Switch,
Equipment,WebService,,Web Service,
Equipment,Window,,Window,
Equipment,WhiteGood,,White Good,
